Timestamp;What is your gender?;How old are you?;What is your nationality?;Where do you live?;What do you buy the most?;How often do you buy at fast fashion brands (Zara, Topshop, Primark);Do you support sustainable fashion? ;How often do you buy sustainable clothes? ;Do you know if what you buy comes from a sustainable chain?;What do you do with your old clothes?;Do you support circular economy models for sustainability?;Do you know the impact of fashion on the environment?;Did you know the production of clothes leaves big water and carbon footprint ?;How many liters of water do you think are needed to produce just one cotton shirt?;Do you think that the fashion business needs a change (with respect to its impact)? ;How could the industry reduce its impact on the environment ? (give one example)
11/24/2021 23:32:29;M;16-25;Chilean;Spain;Fast fashion;2 times a year;Yes;2 times a year;Yes;Donate;yes;No;No;30;Yes;Reduce the materials used.
11/24/2021 23:51:25;M;16-25;Jordanian;Spain;Sustainable clothes;2 times a year;Yes;2 times a year;No;Donate;yes;Yes;No;10.000;Yes;Start using less amount of water
11/24/2021 23:56:39;F;16-25;Swiss;Spain ;Sustainable clothes;Monthly;Yes;Monthly;Yes;Donate;yes;Yes;Yes;10;Yes;Using recycled material 
11/24/2021 23:59:21;F;16-25;;;Sustainable clothes;Monthly;Yes;Monthly;No;Donate;yes;Yes;Yes;8;Yes;
11/24/2021 23:59:40;F;16-25;French ;Spain ;Fast fashion;Monthly;Yes;5 times a year;Yes;Donate;yes;Yes;Yes;18;Yes;
11/24/2021 23:59:47;F;16-25;Jordanian;Jordan;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;2;Yes;"By reducing the usage of synthetic plastics in textile manufacturing, ex; using organically derived cotton rather than synthetic cotton blends"
11/25/2021 0:01:12;F;16-25;Jordanian;Spain;Fast fashion;Monthly;Yes;Monthly;Yes;Donate;yes;No;Yes;5;Yes;Focus more on quality produced rather than quantity 
11/25/2021 0:03:09;F;16-25;Jordanian ;United States;Fast fashion;Monthly;Yes;Monthly;Yes;Donate;yes;Yes;No;5;Yes;Market for less mass consumption, and find methods to sustainably produce fashion. 
11/25/2021 0:03:32;F;16-25;salvadorian ;Spain;Fast fashion;Monthly;Yes;2 times a year;Yes;Donate;yes;No;No;2;Yes;.
11/25/2021 0:05:48;F;16-25;French ;Spain;Sustainable clothes;2 times a year;Yes;5 times a year;Yes;Keep them;yes;Yes;Yes;100;Yes;
11/25/2021 0:08:19;F;16-25;Jordanian ;Jordan ;Fast fashion;Weekly;Yes;2 times a year;No;Donate;no;Yes;No;2000;Yes;Recycling 
11/25/2021 0:09:12;F;16-25;Jordanian ;Jordan;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;No;6;Yes;Recycle 
11/25/2021 0:12:25;M;16-25;Jordanian;Spain;Fast fashion;Monthly;Yes;5 times a year;No;Donate;yes;Yes;Yes;200;Yes;Mix between Just in Time and Just in Case Production Processes instead of only Just in Case which creates higher waste and uses more production materials. 
11/25/2021 0:17:22;F;16-25;Italian;Italy;Fast fashion;Monthly;Yes;Monthly;No;Keep them;yes;No;No;50;Yes;"put more regulations on fast fashion production so that the environment could be 
less subject to pollution and contamination, aw well as spreading awareness and encouraging slow fashion "
11/25/2021 0:18:33;F;16-25;French;France;Fast fashion;Monthly;No;2 times a year;No;Throw them away;no;Yes;Yes;50;Yes;Sustainable materials
11/25/2021 0:19:17;F;16-25;Jordanian;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;1000;Yes;Sustainable textiles- hemp fiber
11/25/2021 0:19:31;F;16-25;Egyptian;Spain;Fast fashion;Monthly;Yes;2 times a year;Yes;Keep them;yes;Yes;Yes;2000;Yes;to promote digitization of fashion brand shops to produce just in time vs just in case
11/25/2021 0:26:50;M;25-30;Honduran;Spain;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;20;Yes;Recycling materials to make new clothes 
11/25/2021 0:27:16;F;16-25;Dutch;The Netherlands;Fast fashion;Monthly;Yes;Monthly;Yes;Donate;yes;Yes;Yes;50;Yes;By recycling old clothes
11/25/2021 0:33:49;F;16-25;Spanish;Spain ;Fast fashion;5 times a year;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;1500;Yes;Unfortunately I have no idea
11/25/2021 0:35:12;F;16-25;French ;France;Fast fashion;Monthly;No;5 times a year;No;Donate;yes;Yes;Yes;10;Yes;Design smarter regarding theses issues
11/25/2021 0:39:29;F;16-25;Jordanian ;Spain;Fast fashion;Daily;Yes;Weekly;Yes;Donate;yes;Yes;Yes;600;Yes;Stop overproducing 
11/25/2021 0:43:36;F;16-25;Italian;Spain;Fast fashion;Monthly;Yes;5 times a year;Yes;Donate;yes;Yes;Yes;5;Yes;Start banning fast fashion
11/25/2021 0:46:50;F;16-25;US citizen ;United States ;Sustainable clothes;2 times a year;Yes;5 times a year;Yes;Donate;yes;Yes;Yes;81000;Yes;they can receive per-owned clothes from customers and either resell the pieces or re-use the fabric (levi's has something like this) 
11/25/2021 1:01:21;F;16-25;Jordanian;Spain;Fast fashion;2 times a year;Yes;2 times a year;No;Keep them;yes;Yes;Yes;5000;Yes;limit the amount of fast fashion production or to convince people to buy more sustainable products
11/25/2021 1:13:14;F;16-25;Jordanian;Spain;Fast fashion;Monthly;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;100;Yes;
11/25/2021 1:30:23;F;16-25;Jordanian;Spain;Fast fashion;2 times a year;Yes;2 times a year;No;Donate;yes;No;No;2;Yes;
11/25/2021 3:46:38;M;16-25;Jordanian ;Jordan;Fast fashion;Monthly;Yes;Monthly;Yes;Donate;yes;Yes;Yes;60;Yes;Recycling 
11/25/2021 3:47:44;F;16-25;Colombian;Colombia ;Fast fashion;5 times a year;Yes;5 times a year;Yes;Donate;yes;Yes;Yes;15;Yes;
11/25/2021 6:37:58;F;16-25;Iraqi;Jordan;Fast fashion;5 times a year;Yes;2 times a year;Yes;Donate;yes;Yes;Yes;10;Yes;Stop the mass production and move towards slower more customised and more sustainable production. 
11/25/2021 7:44:51;F;30-50;Jordanian;Jordan;Fast fashion;Monthly;Yes;Monthly;No;Donate;no;No;No;5;No;Inform people about the importance of sustainable clothing and the impact of clothes production on the environment.
11/25/2021 8:31:30;F;16-25;Jordanian;Jordan;Fast fashion;Monthly;Yes;5 times a year;No;Donate;yes;No;Yes;1;Yes;
11/25/2021 8:33:57;F;16-25;Jordanian;United States;Fast fashion;Monthly;Yes;2 times a year;No;Donate;yes;Yes;Yes;25;Yes;
11/25/2021 8:34:38;F;16-25;palestinian ;Jordan;Sustainable clothes;2 times a year;No;2 times a year;No;Donate;no;No;Yes;1;Yes;
